"Group","Component","R_squared","Coefficient","p_value","Variable","Significance"
"native","total",0.465499895517782,-0.00179723810360873,0.944944944944945,"gdp_mean1",""
"native","total",0.465499895517782,-0.00951267638374858,0.682682682682683,"pd_mean1",""
"native","total",0.465499895517782,0.00889645528580833,0.588588588588589,"ul_mean1",""
"native","turnover",0.500537431844571,0.642969831571071,0.001001001001001,"Int","**"
"native","turnover",0.500537431844571,0.0344403229237187,0.002002002002002,"geo1","**"
"native","turnover",0.500537431844571,-0.00847620018860643,0.154154154154154,"est.time1",""
"native","turnover",0.500537431844571,-0.0263116111226082,0.002002002002002,"area_ha1","**"
"native","turnover",0.500537431844571,0.00794568868766637,0.401401401401401,"dem_mean1",""
"native","turnover",0.500537431844571,0.0144305640456601,0.0610610610610611,"map_mean1",""
"native","turnover",0.500537431844571,0.10154346822953,0.001001001001001,"mat_mean1","**"
"native","turnover",0.500537431844571,0.0453179427106616,0.312312312312312,"gdp_mean1",""
"native","turnover",0.500537431844571,-0.0547882185301548,0.136136136136136,"pd_mean1",""
"native","turnover",0.500537431844571,0.0125926040898363,0.607607607607608,"ul_mean1",""
"native","nestedness",0.179245723448545,0.151896860694425,0.001001001001001,"Int","**"
"native","nestedness",0.179245723448545,-0.0135803885236379,0.126126126126126,"geo1",""
"native","nestedness",0.179245723448545,0.0112632561630407,0.025025025025025,"est.time1","*"
"native","nestedness",0.179245723448545,0.0272371915742628,0.001001001001001,"area_ha1","**"
"native","nestedness",0.179245723448545,0.00948465080594122,0.244244244244244,"dem_mean1",""
"native","nestedness",0.179245723448545,-0.00178628340738287,0.77977977977978,"map_mean1",""
"native","nestedness",0.179245723448545,-0.0443952062740711,0.001001001001001,"mat_mean1","**"
"native","nestedness",0.179245723448545,-0.0471151808142705,0.219219219219219,"gdp_mean1",""
"native","nestedness",0.179245723448545,0.0452755421464084,0.147147147147147,"pd_mean1",""
"native","nestedness",0.179245723448545,-0.00369614880402987,0.857857857857858,"ul_mean1",""
"all","total",0.44101271231463,0.798876118094118,0.001001001001001,"Int","**"
"all","total",0.44101271231463,0.0190315499250418,0.003003003003003,"geo1","**"
"all","total",0.44101271231463,0.00111533465779754,0.763763763763764,"est.time1",""
"all","total",0.44101271231463,-0.000991051127030815,0.860860860860861,"area_ha1",""
"all","total",0.44101271231463,0.0150467016636681,0.00800800800800801,"dem_mean1","**"
"all","total",0.44101271231463,0.00842957219589406,0.0750750750750751,"map_mean1",""
"all","total",0.44101271231463,0.0585277915292958,0.001001001001001,"mat_mean1","**"
"all","total",0.44101271231463,0.0104444308409002,0.676676676676677,"gdp_mean1",""
"all","total",0.44101271231463,-0.018334765434056,0.39039039039039,"pd_mean1",""
"all","total",0.44101271231463,0.00709697879515647,0.643643643643644,"ul_mean1",""
"all","turnover",0.467902014310128,0.637803610369089,0.001001001001001,"Int","**"
"all","turnover",0.467902014310128,0.0376004351677148,0.001001001001001,"geo1","**"
"all","turnover",0.467902014310128,-0.00855256542633084,0.164164164164164,"est.time1",""
"all","turnover",0.467902014310128,-0.0251800630080582,0.00600600600600601,"area_ha1","**"
"all","turnover",0.467902014310128,0.00175685723909495,0.877877877877878,"dem_mean1",""
"all","turnover",0.467902014310128,0.0111102938502325,0.177177177177177,"map_mean1",""
"all","turnover",0.467902014310128,0.0986245372413907,0.001001001001001,"mat_mean1","**"
"all","turnover",0.467902014310128,0.0495834316229319,0.273273273273273,"gdp_mean1",""
"all","turnover",0.467902014310128,-0.0581401144192896,0.117117117117117,"pd_mean1",""
"all","turnover",0.467902014310128,0.0135227794997855,0.586586586586587,"ul_mean1",""
"all","nestedness",0.155934194218738,0.16107250772503,0.001001001001001,"Int","**"
"all","nestedness",0.155934194218738,-0.0185688852426725,0.048048048048048,"geo1","*"
"all","nestedness",0.155934194218738,0.00966790008412828,0.0550550550550551,"est.time1",""
"all","nestedness",0.155934194218738,0.0241890118810274,0.003003003003003,"area_ha1","**"
"all","nestedness",0.155934194218738,0.0132898444245728,0.0960960960960961,"dem_mean1",""
"all","nestedness",0.155934194218738,-0.00268072165433824,0.712712712712713,"map_mean1",""
"all","nestedness",0.155934194218738,-0.0400967457120956,0.001001001001001,"mat_mean1","**"
"all","nestedness",0.155934194218738,-0.0391390007820314,0.304304304304304,"gdp_mean1",""
"all","nestedness",0.155934194218738,0.0398053489852343,0.205205205205205,"pd_mean1",""
"all","nestedness",0.155934194218738,-0.00642580070462984,0.785785785785786,"ul_mean1",""
