...1,univ.name,campus,campus02,province,city,city_name,district,citycode,adcode,lng,lat,est.time,area_ha,i,SHI_D_ID,dem_mean,map_mean,mat_mean,wet_area,wet_num,gdp_mean,pd_mean,ul_mean
11,广州大学,GZU,gzu,广东省,广州市,广州市,番禺区,20,440113,113.372656,23.040937,2004,131.71,116,3945,109.559038441173,2227.78538562664,22.1747261174409,417.8835,4,11409.5275366756,1912.4069580078128,0.2431874643999953
12,扬州大学,YZU,yzu,江苏省,扬州市,扬州市,邗江区,32,225009,119.3899,32.3991,1952,400,136,966,6.7443578169881,1071.1424262367,15.5050400350993,923.9751,2,4047.60539845694,710.15557861328125,0.06964991801241516
13,曲阜师范大学,QFNU,qfnu,山东省,济宁市,济宁市,曲阜市,537,370881,116.967594,35.594135,1956,131.4,192,908,68.4607430774623,715.230106721588,14.2792766647944,872.9703,4,1911.5691639616,738.1552978515625,0.0589908653741508
14,北京大学,PKU,pku,北京市,北京市,北京市,海淀区,10,110108,116.31045399999999,39.992734,1898,195,41,292,365.723123618241,595.638209266007,10.8944800384416,224.3493,2,6020.96950239213,1236.15224609375,0.1939137573076416
15,安徽大学,AHDX,ahdx,安徽省,合肥市,合肥市,蜀山区,551,340104,117.18488,31.76754,2004,133.33,56,986,40.2855418223627,1170.22758112094,16.2492133726647,1133.8839,5,2179.25264366699,656.685693359375,0.06355167029822922
16,广西大学,GXDX,gxdx,广西壮族自治区,南宁市,南宁市,西乡塘区,771,450107,108.292834,22.842456,1928,265.5,46,3982,196.447556416077,1771.42817484389,21.6182247992864,365.2794,2,772.263852484061,309.1556396484375,0.02138019291793559
17,山东大学,SDDX,sddx,山东省,济南市,济南市,历城区,531,370112,117.060678,36.675572,1958,106.67,191,783,126.096485571498,672.962508614748,13.5010940730531,128.4255,5,3878.08138450155,860.8406494140625,0.1496031404407669
18,湖南科技大学,HNKJDX,hnkjdx,湖南省,湘潭市,湘潭市,湘潭县,732,430321,112.918821,27.9041,2003,200.31,207,2519,111.020978029766,1749.18462934947,18.0212254160363,109.35,1,1597.3945864929,561.69000244140625,0.02655004308637045
19,三峡大学,SXDX,sxdx,湖北省,宜昌市,宜昌市,西陵区,717,420502,111.314266,30.722403,2000,200,98,1231,661.813440842735,1500.03363456258,14.603675576101,426.9042,8,605.176697264376,197.62381896972656,0.00614234773427689
20,温州大学,WZU,wzu,浙江省,温州市,温州市,瓯海区,577,330304,120.700716,27.921456,2001,77.73,204,2175,358.971678943358,1956.84429118268,17.2632787750792,208.7649,0,2160.65292112774,847.4198486328125,0.05982000199373007
21,清华大学,QHU,qhu,北京市,北京市,北京市,海淀区,10,110108,116.329683,40.000119,1911,482.84,41,292,365.723123618241,595.638209266007,10.8944800384416,224.3493,2,6020.96950239213,1236.15224609375,0.1939137573076416
22,沈阳农业大学,SYAU,syau,辽宁省,沈阳市,沈阳市,沈河区,24,210103,123.567348,41.823548,1952,683.07,182,209,61.6446806535462,637.906704021421,8.54197203352014,200.1069,3,2121.54853460449,632.8485473632812,0.06574495062284494
23,山西农业大学,SXNYDX,sxnydx,山西省,太原市,太原市,小店区,351,140105,112.580313,37.776027,1950,239.2,86,712,1251.62529832936,539.166804002354,8.20790661173243,39.5109,0,1904.36619076234,612.8198608398437,0.08083129724714508
24,兰州大学,LZU,lzu,甘肃省,兰州市,兰州市,城关区,931,620102,103.859546,36.046674,1909,39.47,36,887,2096.5978404908,344.119487797214,7.22360951084114,31.8213,1,697.567174905481,276.8604705810547,0.02486505102302721
25,南京大学,NJU,nju,江苏省,南京市,南京市,鼓楼区,25,320106,118.77943,32.055015,1952,53.33,44,983,25.2693501655629,1182.78416454716,16.0170684507354,711.2943,1,6218.18724786983,1303.8192626953123,0.1549646645407115
26,同济大学,TONGJI,tongji,上海市,上海市,上海市,杨浦区,21,310110,121.501622,31.283465,1946,276,5,1002,4.86672040843746,1392.76821705426,16.5958021284983,582.3279,2,22473.3647475776,4394.816943359375,0.4511118398479232
27,东北林业大学,NFU,nfu,黑龙江省,哈尔滨市,哈尔滨市,香坊区,451,230110,126.637137,45.719341,1952,136,69,14,252.993101911301,660.226166984213,3.73629559063694,848.9997,12,487.881549990414,206.1146697998047,0.01361013381906033
28,深圳大学,SZDX,szdx,广东省,深圳市,深圳市,南山区,755,440305,113.932603,22.527539,1983,271,202,4061,86.8163921253515,2272.3677148847,22.5801886792453,44.5257,1,28388.4525204733,5494.451904296875,0.6663242709604258
29,郑州大学,ZZDX,zzdx,河南省,郑州市,郑州市,中原区,371,410102,113.53867,34.815952,2000,323,288,944,233.699332044296,684.109943555974,14.4817968015052,100.5894,1,5378.03836739364,1169.542041015625,0.16856426209784994
30,中国药科大学,ZGYKU,zgyku,江苏省,南京市,南京市,江宁区,25,320115,118.918221,31.902082,2012,140,44,983,25.2693501655629,1182.78416454716,16.0170684507354,711.2943,1,6218.18724786983,1303.8192626953123,0.1549646645407115
31,海南大学,HaiNU,hainu,海南省,海口市,海口市,美兰区,898,460108,110.33042,20.056894,1958,404.4,196,4590,42.0124567474048,2286.35478166727,24.4757668711657,67.1742,2,2651.38962887022,965.3290283203124,0.06961773340424753
